NO,name of the game,game realese date,on sale,game prices
1,Call of Duty®: Modern Warfare® II,"27 Oct, 2022",,$69.99
2,Call of Duty®: Black Ops III,"5 Nov, 2015",,$59.99
3,Call of Duty®: Modern Warfare®,"8 Mar, 2023",,$59.99
4,Call of Duty®: Black Ops II,"12 Nov, 2012",,$59.99
5,Call of Duty®: WWII,"2 Nov, 2017",,$59.99
6,Call of Duty®: Black Ops,"9 Nov, 2010",,$39.99
7,Call of Duty®: Vanguard,"8 Mar, 2023",,$59.99
8,Call of Duty®,"13 Oct, 2006",,$19.99
9,Call of Duty®: Black Ops Cold War,"8 Mar, 2023",,$59.99
10,Call of Duty®: Modern Warfare® II - BlackCell (Season 03),"12 Apr, 2023",,$29.99
11,Call of Duty®: Infinite Warfare,"3 Nov, 2016",,$59.99
12,Call of Duty®: Ghosts,"25 Mar, 2014",,$59.99
13,Call of Duty® 2,"7 Dec, 2006",,$19.99
14,Call of Duty®: Modern Warfare® II - Demon Deer: Pro Pack,"19 May, 2023",,$19.99
15,Call of Duty: World at War,"18 Nov, 2008",,$19.99
16,Call of Duty®: Modern Warfare® 3,"8 Nov, 2011",,$39.99
17,Call of Duty: United Offensive,"7 Dec, 2006",,$19.99
18,Call of Duty Warchest,"7 Dec, 2006",,$29.99
19,Call of Duty®: Modern Warfare® 2 (2009),"11 Nov, 2009",,$19.99
20,Call of Duty®: Modern Warfare® II - Manticore: Pro Pack,"20 Apr, 2023",,$19.99
21,Call of Duty®: Modern Warfare® Remastered (2017),"27 Jul, 2017",,$39.99
22,Call of Duty® 4: Modern Warfare® (2007),"12 Nov, 2007",,$19.99
23,Call of Duty®: Ghosts - Invasion,"3 Jul, 2014",,$14.99
24,Call of Duty®: Ghosts - Devastation,"8 May, 2014",,$14.99
25,Call of Duty®: Ghosts - Onslaught,"27 Feb, 2014",,$14.99
26,Call of Duty League™ - Launch Pack,"16 Nov, 2022",,$9.99
27,Call of Duty®: Ghosts - Nemesis,"4 Sep, 2014",,$14.99
28,Call of Duty® Franchise Collection,,,$962.60
29,Call of Duty®: Black Ops III - Zombies Chronicles,"15 Jun, 2017",,$29.99
30,Call of Duty®: Advanced Warfare - Gold Edition,"2 Nov, 2014",,$59.99
31,Call of Duty®: Modern Warfare® II - Itadakimasu: Starter Pack,"23 Mar, 2023",,$9.99
32,Call of Duty®: Warzone™ - Pro Pack,"8 Mar, 2023",,$19.99
33,Call of Duty®: Modern Warfare® II - Urban Veteran: Pro Pack,"23 Feb, 2023",,$19.99
34,Call of Duty®: Infinite Warfare - Season Pass,"3 Nov, 2016",,$49.99
35,Commandos: Beyond the Call of Duty,"15 Mar, 2007",,$4.99
36,Call of Duty®: Black Ops - Rezurrection Content Pack,"22 Sep, 2011",,$14.99
37,Call of Duty®: Black Ops III - Der Eisendrache Zombies Map,"1 May, 2018",,$7.99
38,Call of Duty®: WWII - Season Pass,"2 Nov, 2017",,$49.99
39,Call of Duty®: Ghosts - Wolf Skin,"14 Jan, 2014",,$1.99
40,Call of Duty®: Advanced Warfare - Supremacy,"2 Jul, 2015",,$14.99
41,Call of Duty®: Advanced Warfare - Ascendance,"30 Apr, 2015",,$14.99
42,Call of Duty®: Warzone™ 2.0,"16 Nov, 2022",,Free
43,Call of Duty®: Advanced Warfare - Havoc,"3 Mar, 2015",,$14.99
44,Call of Duty®: Vanguard Points,"8 Mar, 2023",,$1.99
45,Call of Duty®: Black Ops III - Revelations Zombies Map,"1 May, 2018",,$7.99
46,Call of Duty®: Black Ops II - Apocalypse,"26 Sep, 2013",,$14.99
47,Call of Duty®: Black Ops II - Vengeance,"1 Aug, 2013",,$14.99
48,Call of Duty®: Black Ops II - Uprising,"16 May, 2013",,$14.99
49,Call of Duty®: Black Ops II - Revolution,"28 Feb, 2013",,$14.99
50,Call of Duty®: Black Ops Escalation Content Pack,"2 Jun, 2011",,$14.99
